source,raw_lines,valid_iocs,unique_to_source,shared_with_others,overlap_pct,fetch_status,bytes,fetched_at
FadeMind,2189,2189,2112,77,3.5,OK,58157,2026-05-12T08:39:33+00:00
DandelionSprout,12576,11988,11910,78,0.7,OK,403596,2026-05-12T08:39:33+00:00
QuidsUp,138,138,117,21,15.2,OK,5222,2026-05-12T08:39:33+00:00
Mitchell_Krog,1386,1384,1367,17,1.2,OK,36808,2026-05-12T08:39:33+00:00
Miroslav_Stampar,18150,18146,17183,963,5.3,OK,312402,2026-05-12T08:39:33+00:00
MetaMask,1072,1071,1069,2,0.2,OK,28229,2026-05-12T08:39:33+00:00
The_Block_List_Project_Fraud,196082,195998,195627,371,0.2,OK,4384590,2026-05-12T08:39:33+00:00
The_Block_List_Project_Ransomware,1904,1904,1793,111,5.8,OK,51534,2026-05-12T08:39:33+00:00
GlobalAntiScamOrg,11199,11193,11188,5,0.0,OK,168197,2026-05-12T08:39:33+00:00
The_Block_List_Project_Scam,1274,1274,1195,79,6.2,OK,24164,2026-05-12T08:39:33+00:00
KADhosts,47493,47493,26487,21006,44.2,OK,1398268,2026-05-12T08:39:33+00:00
CERT_Polska,132657,132657,1616,131041,98.8,OK,2718458,2026-05-12T08:39:34+00:00
Hexxium_Creations,3888,3881,3763,118,3.0,OK,97604,2026-05-12T08:39:33+00:00
USOM,471563,450421,448581,1840,0.4,OK,10610044,2026-05-12T08:39:47+00:00
OpenPhish,300,239,136,103,43.1,OK,17288,2026-05-12T08:39:33+00:00
Phishing_Army,145046,145046,13978,131068,90.4,OK,3013487,2026-05-12T08:39:33+00:00
ThreatFox,61656,57791,56886,905,1.6,OK,2008723,2026-05-12T08:39:33+00:00
StopForumSpam_ToxicDomains,72607,72558,72492,66,0.1,OK,1114908,2026-05-12T08:39:33+00:00
Abuse.ch,682,682,359,323,47.4,OK,22969,2026-05-12T08:39:33+00:00
Redflag,36687,36687,36667,20,0.1,OK,712633,2026-05-12T08:39:33+00:00
